,driver_name,rating,year
0,aaron scott,S,2017
1,aaron scott,S,2018
2,aaron scott,S,2020
3,abdulaziz turki al faisal,S,2017
4,adrien de leener,S,2020
5,adrien tambay,G,2020
6,alessandro balzan,G,2017
7,alessandro balzan,G,2022
8,alessandro pier guidi,G,2017
9,alessandro pier guidi,P,2019
10,alessandro pier guidi,P,2018
11,alessandro pier guidi,P,2020
12,alessandro pier guidi,P,2021
13,alessandro pier guidi,P,2022
14,alessio picariello,G,2021
15,alessio picariello,G,2022
16,alessio rovera,G,2022
17,alessio rovera,S,2021
18,alex brundle,G,2019
19,alex brundle,G,2017
20,alex brundle,G,2018
21,alex brundle,G,2020
22,alex brundle,G,2022
23,alex brundle,G,2021
24,alex kapadia,S,2020
25,alex lynn,P,2018
26,alexander  lynn,P,2019
27,alexander davison,S,2018
28,alexander lynn,P,2017
29,alexander lynn,P,2020
30,alexander lynn,P,2022
31,alexander sims,P,2018
32,alexander sims,P,2022
33,alexander west,B,2020
34,alexander west,B,2022
35,alexandre coigny,B,2020
36,alexandre cougnaud,S,2022
37,alvaro parente,P,2017
38,anders fjordbach,S,2019
39,anders fjordback,S,2018
40,anders fjordbach,S,2020
41,anders fjordbach,S,2021
42,andre negra0,G,2018
43,andrea belicchi,G,2017
44,andrea belicchi,G,2019
45,andrea bertolini,P,2017
46,andrea bertolini,P,2018
47,andrea belicchi,G,2020
48,andrea piccini,G,2019
49,andrea pizzitola,S,2018
50,andrea pizzitola,G,2019
51,andrea piccini,G,2020
52,andrea piccini,G,2021
53,andreas laskaratos,B,2020
54,andrew howard,B,2017
55,andrew haryanto,B,2021
56,andrew haryanto,B,2022
57,andrew watson,S,2020
58,andrew watson,S,2021
59,andre lotterer,P,2019
60,andre lotterer,P,2017
61,andre lotterer,P,2018
62,andre negrao,G,2019
63,andre negrao,S,2017
64,andre negrao,G,2020
65,andre negrao,G,2022
66,andre negrao,G,2021
67,andy priaulx,P,2019
68,andy priaulx,P,2017
69,andy priaulx,P,2018
70,anthony davidson,P,2019
71,anthony davidson,P,2017
72,anthony davidson,P,2020
73,anthony davidson,P,2021
74,anthony wells,B,2020
75,antonin borga,S,2020
76,antonio felix da costa,P,2018
77,antonio felix da costa,P,2019
78,antonio felix da costa,P,2020
79,antonio felix da costa,P,2021
80,antonio felix da costa,P,2022
81,antonio fuoco,G,2021
82,antonio fuoco,P,2022
83,antonio garcia,P,2017
84,antonio garcia,P,2018
85,antonio garcia,P,2019
86,antonio giovinazzi,P,2018
87,antonio garcia,P,2022
88,antonio garcia,P,2021
89,arjun maini,S,2019
90,ate de jong,B,2018
91,augusto farfus,P,2018
92,augusto farfus,P,2019
93,augusto farfus,P,2020
94,augusto farfus,P,2021
95,beitske visser,S,2020
96,beitske visser,S,2021
97,ben barnicoat,P,2022
98,ben hanley,G,2018
99,ben hanley,G,2019
100,ben hanley,G,2017
101,ben hanley,G,2020
102,ben hanley,G,2022
103,ben hanley,G,2021
104,ben keating,B,2017
105,ben keating,B,2018
106,ben keating,B,2019
107,ben keating,B,2020
108,ben keating,B,2022
109,ben keating,B,2021
110,benjamin barker,G,2017
111,benjamin barker,G,2019
112,benjamin barker,G,2018
113,benjamin barker,G,2020
114,benjamin barker,G,2022
115,benjamin barker,G,2021
116,bent viscaal,S,2022
117,billy johnson,P,2018
118,billy johnson,P,2017
119,billy johnson,G,2019
120,bonamy grimes,B,2020
121,brendan iribe,B,2022
122,brendon hartley,P,2017
123,brendon hartley,P,2020
124,brendon hartley,P,2022
125,brendon hartley,P,2021
126,bruno senna,P,2018
127,bruno senna,P,2019
128,bruno senna,P,2017
129,bruno senna,P,2020
130,bruno spengler,P,2020
131,charles eastwood,S,2018
132,charles fagg,S,2022
133,charles milesi,S,2020
134,charles milesi,S,2021
135,charles milesi,G,2022
136,charles robertson,S,2018
137,charlie eastwood,S,2019
138,charlie eastwood,S,2020
139,charlie hollings,S,2020
140,christian hook,B,2022
141,christian philippon,B,2017
142,christian ried,B,2017
143,christian ried,B,2019
144,christian ried,B,2018
145,christian ried,B,2020
146,christian ried,B,2022
147,christian ried,B,2021
148,christina nielsen,S,2018
149,christina nielsen,S,2017
150,christoph ulrich,B,2020
151,christoph ulrich,B,2022
152,christophe cresp,B,2022
153,christophe d'ansembourg,B,2020
154,claudio schiavoni,B,2019
155,claudio schiavoni,B,2020
156,claudio schiavoni,B,2021
